Algorithm,RMSE,MAE
SVD,0.8807462819979623,0.6765729095860605
User-KNN,0.9827547752367027,0.7566428470493615
Item-KNN,0.977224460757225,0.7434509378153926
Hybrid (60-40),0.8807462819979623,
